code,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,chief_investigators,chief_investigators_orcids
DP250104014,2025,Active,418171,435956.0,The University of Queensland,A/Prof Garth Stahl; Prof James Smith; Prof Murray Drummond; A/Prof Kootsy (Justin) Canuto; Dr Mair Underwood; A/Prof Elizabeth Edwards,0000-0002-1800-8495; 0000-0002-7348-4881; 0000-0002-7971-4625; 0000-0002-7549-205X
DP250103176,2025,Active,892451,929144.0,The University of New South Wales,A/Prof Katherine Moseby; Dr Todd McWhorter; Prof Patricia Fleming,0000-0003-0691-1625; 0000-0002-4746-4975; 0000-0002-0626-3851
DP250103207,2025,Active,627538,651737.0,The University of Sydney,Prof Xiaozhou Liao,0000-0001-8565-1758
DP250101080,2025,Active,535000,555774.0,The University of Western Australia,Prof Serena Dipierro; Prof Enrico Valdinoci; Dr Valentina-Mira Wheeler; Dr Glen Wheeler,0000-0003-3314-5647
DP250101794,2025,Active,403272,418735.0,The University of Adelaide,Prof Lisa Hill,
DP250104980,2025,Active,780000,806884.0,The University of Melbourne,A/Prof Vihandha Wickramasinghe,0000-0002-9438-3457
DP250102180,2025,Active,1081809,1123542.0,The University of Sydney,Prof Jody Webster; Prof Helen McGregor; Prof Gregory Webb; A/Prof Tristan Salles,0000-0002-0005-6448; 0000-0002-4031-2282; 0000-0002-9206-978X; 0000-0001-6095-7689
DP250103284,2025,Active,625342,649093.0,La Trobe University,Prof Marija Tabain,0000-0002-1193-1244
DP250104711,2025,Active,1342738,1382558.0,The University of Western Australia,Prof Francis Mitrou; Dr Vincent Mancini; A/Prof Jacqui Macdonald; Dr Jan Kabatek; Dr Zac Seidler; Em/Prof Stephen Zubrick,0000-0002-6639-2030; 0000-0002-4845-8104; 0000-0001-9451-2709; 0000-0002-5947-7941; 0000-0002-6854-1554; 0000-0002-6369-1713
DP250103927,2025,Active,501636,521458.0,The University of New South Wales,Prof Jiankun Hu,0000-0003-0230-1432
DP250102223,2025,Active,345000,358442.0,The University of Sydney,Prof Julia Kindt,
DP250100431,2025,Active,534527,554930.0,Macquarie University,A/Prof Magdalena Raban; Prof Johanna Westbrook; A/Prof Annie Lau; Dr Amy Nguyen,0000-0002-6995-2849; 0000-0003-1083-8192; 0000-0002-3028-4222; 0000-0003-4603-564X
DP250102628,2025,Active,641610,666088.0,The University of New South Wales,Prof Richard Kemp; Prof Jill Hunter,
DP250102398,2025,Active,402221,423722.0,University of South Australia,Prof Yan Zhuge; Prof Thuy (Kate) Nguyen; Dr Jun-Jie Zeng; Dr Yue Liu; Prof Guomin Zhang,0000-0003-1620-6743; 0000-0002-1825-4127; 0000-0003-0893-6623
DP250100067,2025,Active,500419,523832.0,The University of Melbourne,Prof David Bissell; Prof Leah Ruppanner; Dr Brendan Churchill,0000-0002-6111-1914; 0000-0003-3625-4574
DP250100886,2025,Active,767430,792446.0,University of Tasmania,Dr Linda Armbrecht; Dr João Teixeira; Dr Jane Younger; A/Prof Christopher Bolch,0000-0002-1213-1257; 0000-0001-6417-4702; 0000-0001-5974-7350; 0000-0001-9047-2391
DP250100125,2025,Active,526283,549277.0,RMIT University,Dr Philipp Reineck; Prof Jared Cole; Dr Blanca del Rosal Rabes,0000-0003-1549-937X; 0000-0002-8943-6518; 0000-0001-9174-8097
DP250101335,2025,Active,650000,675662.0,The University of Newcastle,A/Prof Susan Hua; Dr Hayley Stannard; A/Prof Joanne Connolly,0000-0001-7840-3115; 0000-0002-6657-5435; 0000-0002-8797-1007
DP250101477,2025,Active,965408,1004508.0,University of the Sunshine Coast,Prof Robert Harvey; Dr Nela Durisic,0000-0001-5956-6664; 0000-0002-7668-1039
DP250101662,2025,Active,844766,876978.0,University of the Sunshine Coast,Prof Robert Harvey; A/Prof Kate Mounsey; Prof Robert Vandenberg; Prof Megan O'Mara,0000-0001-5956-6664; 0000-0003-0579-9424; 0000-0003-1523-4814; 0000-0002-8764-1585
DP250101090,2025,Active,683324,702705.0,Macquarie University,Prof Bronwyn Carlson; A/Prof Debbie Bargallie; A/Prof David Nolan; Dr Archie Thomas,0000-0002-3825-743X; 0000-0002-4878-6407; 0000-0001-5445-5543; 0000-0002-5460-5641
DP250100240,2025,Active,849473,880352.0,The University of Melbourne,Prof Daniel Hatters,0000-0002-9965-2847
DP250102112,2025,Active,594791,618525.0,The University of Queensland,Prof Christophe Fumeaux; Dr Sasan Ahdi Rezaeieh,0000-0002-7416-4775
DP250101953,2025,Active,564099,587142.0,The University of Sydney,Prof Frank Seebacher; Prof Martin Wechselberger,
DP250101740,2025,Active,924198,942298.0,The University of Western Australia,Prof Shayne Loft; Dr Luke Strickland; Prof Simon Farrell; Dr Vanessa Bowden,0000-0002-5434-0348; 0000-0002-6071-6022; 0000-0001-5553-3400
DP250102236,2025,Active,338513,347659.0,The University of Melbourne,Dr Katharine Greenaway,0000-0002-0271-5312
DP250102020,2025,Active,639416,663882.0,Curtin University,A/Prof Natasha Hurley-Walker,0000-0002-5119-4808
DP250102518,2025,Active,544078,566301.0,The University of Adelaide,Prof Ching Tai Ng; Prof Andrei Kotooussov; Dr Tingyuan Yin,0000-0003-4638-2756; 0000-0001-9337-5095; 0000-0002-6593-474X
DP250102917,2025,Active,514201,533978.0,The University of Queensland,Prof Tamara Davis; Dr Cullan Howlett; Dr Samuel Hinton,0000-0002-4213-8783; 0000-0002-1081-9410; 0000-0003-2071-9349
DP250103027,2025,Active,1486788,1547187.0,University of Canberra,A/Prof Jonathan Pickering; A/Prof Madeline Taylor; Prof David Schlosberg; A/Prof Amanda Tattersall,0000-0002-1862-3623; 0000-0003-3649-3188; 0000-0003-0001-8633
DP250100183,2025,Active,601303,625087.0,La Trobe University,Dr Dean Murphy; Prof Kane Race; Prof Andrew Gorman-Murray,
DP250104903,2025,Active,707360,738405.0,The University of Newcastle,Prof Brett Graham,0000-0002-8070-0503
DP250100117,2025,Active,343172,354960.0,Queensland University of Technology,A/Prof Anna Hogan; Dr Naomi Barnes; Prof Greg Thompson,0000-0003-1934-2548; 0000-0002-4049-1866; 0000-0003-0484-8175
DP250103280,2025,Active,824458,838714.0,The University of Sydney,A/Prof Marian Vidal-Fernandez; Dr Jordi Vidal-Robert,0000-0002-2510-9075; 0000-0001-7014-9810
DP250102847,2025,Active,508255,528090.0,The University of Queensland,A/Prof Rowan Young,0000-0001-7437-8944
DP250103014,2025,Active,503489,521787.0,RMIT University,Dr Jessica Balanzategui; Dr César Albarrán Torres; Prof Ingrid Richardson; A/Prof Jordy Kaufman,0000-0002-2612-6862; 0000-0002-1285-0147; 0000-0001-8448-5778; 0000-0001-9881-371X
DP250102263,2025,Active,820290,853703.0,The University of Queensland,Prof Mark Schembri; Prof Begoña Heras,0000-0003-3469-7988
DP250101866,2025,Active,187754,196408.0,The University of New South Wales,Prof Mina Roces,
DP250104928,2025,Active,580387,604842.0,Macquarie University,Prof Yijiao Jiang; Dr Doudou Zhang; Dr Heping Shen,0000-0002-6191-9825; 0000-0001-8784-5599; 0000-0002-8409-8839
DP250100201,2025,Active,710000,739083.0,The University of Melbourne,A/Prof Benjamin Parker; Prof Natalie Sims,0000-0003-1421-8468
DP250101864,2025,Active,675452,701038.0,The University of Queensland,Prof Craig Williams; A/Prof Jeffrey Harmer,0000-0002-3834-7398; 0000-0003-4583-2401
DP250102923,2025,Active,649793,673504.0,The University of Queensland,Prof Matthew Davis,0000-0001-8337-0784
DP250103127,2025,Active,696475,725276.0,The University of Melbourne,Prof Sarah Bell; A/Prof Crystal Legacy,0000-0001-5289-4358; 0000-0002-8687-7297
DP250101254,2025,Active,715254,736061.0,The University of New South Wales,Prof Ashish Sharma; Prof Lucy Marshall; Dr Hae Na Yoon,0000-0002-6758-0519; 0000-0003-0450-4292; 0000-0002-1844-2291
DP250100676,2025,Active,755000,784572.0,The University of Melbourne,Prof Michael Parker,0000-0002-3101-1138
DP250101359,2025,Active,547873,575760.0,The University of Sydney,Prof Yiming Ying; Prof Dingxuan Zhou,0000-0001-7345-6672; 0000-0003-0224-9216
DP250104311,2025,Active,637673,663321.0,The University of Sydney,Prof Dr Jun Huang; Dr Lizhuo Wang,0000-0001-8704-605X; 0000-0002-3370-5037
DP250101739,2025,Active,480422,499281.0,The University of Sydney,A/Prof Vincent Gramoli; Prof Alan Fekete; A/Prof Qiang Tang,0000-0003-3804-5450
DP250102282,2025,Active,591594,615691.0,The University of Queensland,Prof Michael Monteiro; Prof Megan O'Mara; Dr Julie McAuley,0000-0001-5624-7115; 0000-0002-8764-1585; 0000-0003-2493-3465
DP250102606,2025,Active,563965,590218.0,The University of Melbourne,Prof Devi Stuart-Fox,0000-0003-3362-1412
DP250103407,2025,Active,776747,806482.0,The University of Melbourne,Prof Geoffrey McFadden; Dr Christopher Goodman,0000-0002-5351-1627; 0000-0002-8923-7594
DP250103698,2025,Active,765837,798640.0,Macquarie University,Prof Jonathan Lawrence,
DP250102381,2025,Active,640586,666414.0,The University of Melbourne,Dr Hayley Cameron; Prof Dustin Marshall,0000-0001-5004-6646
DP250101047,2025,Active,1118145,1143126.0,The University of New South Wales,Prof John Gooding; Dr Minkyung Kang,0000-0002-5398-0597; 0000-0003-3248-8496
DP250103346,2025,Active,659673,686543.0,The University of Melbourne,Prof Dan Li; Dr Mengran Li,0000-0003-3461-5751; 0000-0001-7858-0533
DP250100373,2025,Active,633867,658330.0,The University of Melbourne,Prof Phillip Urquijo; Prof Eric Thrane,0000-0002-0887-7953; 0000-0002-4418-3895
DP250104922,2025,Active,606405,620119.0,The University of Melbourne,Prof Kim Felmingham; Prof Amy Jordan; Dr Elise McGlashan; Prof Benjamin Harrison,0000-0002-0749-538X; 0000-0001-8561-9766; 0000-0002-3864-7198; 0000-0002-2226-2074
DP250103234,2025,Active,697299,724559.0,Western Sydney University,Prof Richard (Chunhui) Yang; Prof Yixia (Sarah) Zhang; Prof Wenyi Yan; Prof Brian Falzon,0000-0001-5598-958X; 0000-0003-1912-8277; 0000-0001-9006-6270
DP250103500,2025,Active,836987,864386.0,The University of Melbourne,Dr Susan Christo; Prof Laura Mackay,0000-0002-0139-7105; 0000-0002-8496-6632
DP250102690,2025,Active,580336,603047.0,The University of Melbourne,Prof Nicholas Haslam,0000-0002-1913-2340
DP250101051,2025,Active,898289,923574.0,Queensland University of Technology,Prof Amanda Lotz; Prof Anna Potter; A/Prof Stephen Harrington,0000-0002-6220-6501; 0000-0002-0475-8172; 0000-0001-5340-1906
DP250101513,2025,Active,604172,633245.0,La Trobe University,A/Prof Kirsty Forsdike; Prof Simone Fullagar; Prof Alexandra Parker; Dr Mary Woessner; Prof Leesa Hooker,0000-0001-7725-0831; 0000-0002-2398-6306; 0000-0001-7001-8407; 0000-0002-4499-1139
DP250101934,2025,Active,647384,672501.0,The University of Melbourne,Prof Tuan Ngo; Dr Tuan Nguyen; Prof Huu-Tai Thai,0000-0002-9831-8580; 0000-0003-0415-4798; 0000-0002-4461-9548
DP250104808,2025,Active,504070,517515.0,Western Sydney University,Prof Denis Byrne; Prof Gay Hawkins; Prof Lara Lamb,
DP250103322,2025,Active,756218,785234.0,The University of Melbourne,Prof Evdokia Dimitriadis; Dr Wei Zhou; A/Prof Mark Green,0000-0003-1425-950X; 0000-0001-9636-7963; 0000-0002-6076-9781
DP250103426,2025,Active,598555,622176.0,Western Sydney University,Prof Scott Johnson; Dr Yolima Carrillo,0000-0002-8388-8345
DP250104551,2025,Active,608491,631595.0,The Australian National University,Prof Fedor Iskhakov,0000-0002-9312-5122
DP250104871,2025,Active,626022,655214.0,Queensland University of Technology,Prof Dr Huai-Yong Zhu; Prof Eric Waclawik; A/Prof Wayde Martens,0000-0003-3276-0365; 0000-0002-0959-6838
DP250100943,2025,Active,720518,749721.0,James Cook University,Prof Lucas Cernusak; Prof Graham Farquhar,0000-0002-7575-5526
DP250102035,2025,Active,450019,461455.0,The University of Queensland,Dr Peter Evans; Dr Sally Shrapnel,0000-0003-0214-4748
DP250101073,2025,Active,591176,615859.0,The University of Sydney,Prof Charles Warren; A/Prof Andrew Holmes; Dr Alistair Senior,0000-0002-0788-4713; 0000-0001-9805-7280
DP250104494,2025,Active,767899,802147.0,Torrens University Australia,Prof Paul Ward; Prof Megan Warin; Prof Sarah MacLean; Dr Belinda Lunnay; Prof Catherine Palmer,0000-0002-5559-9714; 0000-0002-8329-0722; 0000-0002-9103-0445; 0000-0001-8345-7556
DP250104965,2025,Active,565816,587627.0,The University of Melbourne,Prof Sanming Zhou; Dr Binzhou Xia,0000-0002-8031-2981
DP250102294,2025,Active,359134,364458.0,The University of Sydney,Prof Dr Onur Kesten,0000-0002-9684-4093
DP250103607,2025,Active,528617,549945.0,The University of Melbourne,Prof Zhe Liu,0000-0002-5282-7945
DP250103666,2025,Active,678966,704952.0,The University of New South Wales,Prof Kate Quinlan; Prof Merlin Crossley,0000-0002-5722-8183; 0000-0003-2057-3642
DP250100450,2025,Active,691000,718739.0,The University of Melbourne,Dr Shabih Shakeel,0000-0003-3651-6087
DP250101021,2025,Active,843458,877217.0,Queensland University of Technology,Prof Ottmar Lipp; Dr Camilla Luck; Prof Allison Waters; Dr Luke Ney,0000-0001-6734-8608; 0000-0002-9364-1418; 0000-0003-2453-793X; 0000-0003-0209-8366
DP250103594,2025,Active,604909,629052.0,The University of Western Australia,Prof Arcady Dyskin; Prof Elena Pasternak,0000-0002-8522-143X
DP250102459,2025,Active,446000,469462.0,The University of New South Wales,Dr Ksenia Skvortsova; A/Prof Cecile King,0000-0003-1400-1998; 0000-0003-2193-2563
DP250104228,2025,Active,998754,1038972.0,The Australian National University,A/Prof Raymond Tobler; Prof Susan O'Connor; Dr Shimona Kealy,0000-0002-4603-1473; 0000-0002-0646-1313
DP250102214,2025,Active,461729,480236.0,The Australian National University,A/Prof Stuart Bedford; A/Prof Christopher Ballard; Dr Rosey Billington; A/Prof Nicholas Thieberger,0000-0001-6476-5617; 0000-0002-8455-6908; 0000-0003-2708-5027; 0000-0001-8797-1018
DP250104339,2025,Active,1282104,1318098.0,Macquarie University,A/Prof Ajay Narendra; Prof Marie Herberstein,0000-0002-1286-5373
DP250104538,2025,Active,450000,468330.0,The Australian National University,Prof Nicholas Barnes,0000-0002-9343-9535
DP250100309,2025,Active,547113,569304.0,The University of New South Wales,Prof Ruhul Sarker; Dr Saber Elsayed,0000-0002-1363-2774; 0000-0003-0836-6122
DP250100848,2025,Active,499601,522809.0,The University of Sydney,Prof Deanna D'Alessandro; Prof Girish Lakhwani; Dr Carol Hua,0000-0002-1497-2543; 0000-0003-1070-5859; 0000-0002-4207-9963
DP250103783,2025,Active,495000,515163.0,The University of Sydney,A/Prof Bing Zhou; A/Prof Wei Bao; A/Prof Nguyen Tran; Prof Zhiyong Wang,0000-0003-1874-1766; 0000-0001-7323-9213; 0000-0002-8043-0312
DP250104905,2025,Active,399621,413635.0,James Cook University,A/Prof Simon Foale; Dr Michael Wood; Prof Paul Nelson; Dr Jennifer Gabriel; Prof Marcus Sheaves,0000-0003-0809-872X; 0000-0002-6216-142X; 0000-0002-0615-6407; 0000-0002-5889-3716
DP250103686,2025,Active,1114960,1155756.0,Curtin University,Prof Raphael Viscarra Rossel; Prof Kingsley Dixon; Dr Sarah Sapsford,0000-0003-1540-4748; 0000-0001-6019-5063
DP250101514,2025,Active,560043,583269.0,The University of New South Wales,A/Prof Xiaopeng Li; Prof Michael Ferry,0000-0003-2541-8027
DP250104964,2025,Active,385359,401412.0,The University of Sydney,A/Prof Hao Zhang; Dr Cao Wang,0000-0002-2802-1394
DP250102201,2025,Active,468166,483295.0,University of Wollongong,Dr Andrew Warren; Prof Christopher Gibson; A/Prof Leah Gibbs,0000-0003-1022-7578; 0000-0002-7242-8255; 0000-0003-3231-9238
DP250100723,2025,Active,503043,524025.0,The University of Queensland,A/Prof Stephen Carleton; Prof Christopher Hay; A/Prof Adelle Sefton-Rowston,0000-0002-3385-9394; 0000-0001-8507-3556; 0000-0002-3441-0062
DP250102568,2025,Active,289886,300021.0,Curtin University,Prof Dr Axel Schmitt; Dr Luc Doucet; Prof Fred Jourdan; Dr Denis Fougerouse,0000-0002-7542-0582; 0000-0001-5626-4521
DP250103324,2025,Active,682141,697942.0,The University of Western Australia,Prof Graeme Cumming,0000-0002-3678-1326
DP250102562,2025,Active,475184,493809.0,The University of Sydney,Dr Daniel Huber; Prof Timothy Bedding,0000-0001-8832-4488; 0000-0001-5222-4661
DP250103036,2025,Active,683000,710861.0,Deakin University,Prof Matthew Symonds; A/Prof Michael Weston; Prof Lee Rollins,0000-0002-9785-6045; 0000-0002-8717-0410; 0000-0002-3279-7005
DP250101526,2025,Active,426684,444064.0,The Australian National University,Prof Christoph Federrath,0000-0002-0706-2306
DP250101688,2025,Active,717251,742786.0,The University of New South Wales,Prof Christopher Pettit; Prof Bill Randolph; Dr Ryan van den Nouwelant,0000-0002-1328-9830; 0000-0001-6740-9933
