code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids,lead_ci_orcid,lead_ci_citations_openalex_through_award_year,lead_ci_openalex_author_id,lead_ci_citation_source
DE240100452,Discovery Early Career Researcher Award,2024,Active,364774,397650.0,Deakin University,3903,Education Systems,3903; 390303; 390307; 420603,Education Systems; Higher Education; Teacher Education and Professional Development of Educators; Health Promotion,A/Prof Natalie Lander,0000-0002-0279-3724,0000-0002-0279-3724,2037,https://openalex.org/A5031583100,openalex_counts_by_year
DE240100454,Discovery Early Career Researcher Award,2024,Active,419300,458426.0,The University of New South Wales,4807,Public Law,450518; 480302; 4807; 480702,Aboriginal and Torres Strait Islander Peoples and the Law; Comparative Law; Public Law; Constitutional Law,Dr Harry Hobbs,0000-0001-9903-6908,0000-0001-9903-6908,266,https://openalex.org/A5083166206,openalex_counts_by_year
DE240100458,Discovery Early Career Researcher Award,2024,Active,444662,486088.0,La Trobe University,4410,Sociology,4410; 441007; 441011,Sociology; Sociology and Social Studies of Science and Technology; Sociology of Health,Dr Renae Fomiatti,0000-0001-6193-9634,0000-0001-6193-9634,588,https://openalex.org/A5027755154,openalex_counts_by_year
DE240100466,Discovery Early Career Researcher Award,2024,Active,467463,510839.0,The Australian National University,4705,Literary Studies,4705; 470508; 470528,Literary Studies; Digital Literature; Print Culture,Dr Millicent Weber,0000-0002-8063-5676,0000-0002-8063-5676,172,https://openalex.org/A5061439234,openalex_counts_by_year
DE240100475,Discovery Early Career Researcher Award,2024,Active,448008,489693.0,The University of Sydney,3507,"Strategy, Management and Organisational Behaviour",3507; 350701; 350702,"Strategy, Management and Organisational Behaviour; Corporate Governance; Corporate Social Responsibility",Dr Martijn Boersma,0000-0001-9789-1046,0000-0001-9789-1046,1052,https://openalex.org/A5086121471,openalex_counts_by_year
DE240100477,Discovery Early Career Researcher Award,2024,Active,449592,491535.0,La Trobe University,4101,Climate Change Impacts and Adaptation,4101; 410102; 410401; 460207,Climate Change Impacts and Adaptation; Ecological Impacts of Climate Change and Ecological Adaptation; Conservation and Biodiversity; Modelling and Simulation,Dr David Deane,0000-0003-2144-624X,0000-0003-2144-624X,786,https://openalex.org/A5008952758,openalex_counts_by_year
DE240100480,Discovery Early Career Researcher Award,2024,Active,445237,486678.0,Deakin University,4016,Materials Engineering,340307; 340503; 4016; 401605,Structure and Dynamics of Materials; Organic Chemical Synthesis; Materials Engineering; Functional Materials,Dr Mega Kar,,,,,
DE240100481,Discovery Early Career Researcher Award,2024,Active,388673,426605.0,The University of Adelaide,4005,Civil Engineering,4005; 400508; 400513,Civil Engineering; Infrastructure Engineering and Asset Management; Water Resources Engineering,Dr Wei Zeng,0000-0003-3525-0432,0000-0003-3525-0432,1719,https://openalex.org/A5013825865,openalex_counts_by_year
DE240100483,Discovery Early Career Researcher Award,2024,Active,382267,450162.0,The University of Sydney,4701,Communication and Media Studies,4701; 470102,Communication and Media Studies; Communication Technology and Digital Media Studies,Dr Olga Boichak,0000-0001-6547-2015,0000-0001-6547-2015,302,https://openalex.org/A5026153937,openalex_counts_by_year
DE240100497,Discovery Early Career Researcher Award,2024,Active,413847,452087.0,The University of New South Wales,3406,Physical Chemistry,3406; 340604; 400404; 511002,Physical Chemistry; Electrochemistry; Electrochemical Energy Storage and Conversion; Instruments and Techniques,Dr Qingfeng Zhai,,,,,
