code,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,chief_investigators,chief_investigators_orcids
DP160104706,2016,Closed,240717,251902.0,The University of New South Wales,A/Prof Petra Gemeinboeck; Dr Robert Saunders,0000-0001-9023-3649
DP160104720,2016,Closed,300000,315246.0,Curtin University,Prof Chun-Zhu Li; Dr Dehua Dong; Prof Gordon Parkinson,
DP160104731,2016,Closed,370000,388648.0,The University of New South Wales,Prof Arnaud Castel; Prof Abhijit Mukherjee,0000-0003-1619-9643; 0000-0001-6972-8962
DP160104737,2016,Closed,228703,233831.0,The Australian National University,A/Prof Boris Buchmann; Em/Prof Ross Maller,0000-0001-5077-2357; 0000-0001-8563-9898
DP160104780,2016,Closed,420000,441345.0,The Australian National University,Prof Yun Liu,0000-0002-5404-3909
DP160104801,2016,Closed,385000,404567.0,The University of Sydney,A/Prof Vincent Gramoli; Prof Alan Fekete,0000-0003-3804-5450
DP160104817,2016,Closed,320000,335950.0,Griffith University,Prof Dan Wang,
DP160104835,2016,Closed,330000,346303.0,Curtin University,Prof Dr Zongping Shao; Dr Chao Su; Dr Wei Wang,0000-0002-6396-3555
DP160104858,2016,Closed,467400,491260.0,The University of New South Wales,Prof Richard Harvey,0000-0002-9950-9792
DP160104866,2016,Closed,720000,770336.0,The University of Adelaide,Prof Shizhang Qiao,
DP160104892,2016,Closed,335500,352630.0,Monash University,Prof John Carroll; Dr Mark Flegg,0000-0001-9644-5861
DP160104903,2016,Closed,360000,378295.0,The University of New South Wales,Prof Wei Zhang,0000-0002-1059-3642
DP160104905,2016,Closed,508300,534278.0,The University of Sydney,Prof Dr Thomas Maschmeyer; Prof Anthony Masters,0000-0001-7857-8759
DP160104909,2016,Closed,317600,337096.0,Central Queensland University,Prof Charli Sargent; Prof Gregory Roach; Prof Drew Dawson,0000-0001-5340-4701; 0000-0003-4005-1243
DP160104912,2016,Closed,225000,236435.0,The University of Melbourne,A/Prof Nora Ganter,0000-0002-7034-1826
DP160104915,2016,Closed,366800,385619.0,The University of New South Wales,Prof Daniel Christ; Prof Ashley Buckle,0000-0002-7313-3977; 0000-0003-2943-9044
DP160104923,2016,Closed,470000,493729.0,The University of New South Wales,Prof Andrew Dzurak,
DP160104937,2016,Closed,350000,367475.0,The University of Queensland,Prof John Zhu; Prof Shaomin Liu,
DP160104948,2016,Closed,399100,419628.0,The University of Queensland,Prof Peter Koopman,
DP160104952,2016,Closed,439078,461695.0,The University of Sydney,Prof Peter Harrowell,0000-0002-8871-5013
DP160104965,2016,Closed,397900,418236.0,The Australian National University,A/Prof Nicholas Robins; Prof John Close,0000-0001-9303-9307
